Title,Year,Genre,RunTime,Rating,Votes,Director,Cast,Gross
Shutter Island,2010,Mystery;Thriller,138,8.2,1151166,Martin Scorsese,Leonardo DiCaprio;Emily Mortimer;Mark Ruffalo;Ben Kingsley,128.01
The Wolf of Wall Street,2013,Biography;Crime;Drama,180,8.2,1213630,Martin Scorsese,Leonardo DiCaprio;Jonah Hill;Margot Robbie;Matthew McConaughey,116.9
Casino,1995,Crime;Drama,178,8.2,473378,Martin Scorsese,Robert De Niro;Sharon Stone;Joe Pesci;James Woods,42.44
Raging Bull,1980,Biography;Drama;Sport,129,8.2,325819,Martin Scorsese,Robert De Niro;Cathy Moriarty;Joe Pesci;Frank Vincent,23.38
Taxi Driver,1976,Crime;Drama,114,8.2,736567,Martin Scorsese,Robert De Niro;Jodie Foster;Cybill Shepherd;Albert Brooks,28.26
To Kill a Mockingbird,1962,Crime;Drama,129,8.2,296506,Robert Mulligan,Gregory Peck;John Megna;Frank Overton;Rosemary Murphy,-1
Three Billboards Outside Ebbing;Missouri,2017,Comedy;Crime;Drama,115,8.1,444589,Martin McDonagh,Frances McDormand;Woody Harrelson;Sam Rockwell;Caleb Landry Jones,54.51
Haider,2014,Action;Crime;Drama,160,8.1,50830,Vishal Bhardwaj,Shahid Kapoor;Tabu;Shraddha Kapoor;Kay Kay Menon,0.9
Le samouraï,1967,Crime;Drama;Mystery,105,8.1,46303,Pierre Melville,Alain Delon;François Périer;Nathalie Delon;Cathy Rosier,0.04
La La Land,2016,Comedy;Drama;Music,128,8,515895,Damien Chazelle,Ryan Gosling;Emma Stone;Rosemarie DeWitt;J.K. Simmons,151.1
Casino Royale,2006,Action;Adventure;Thriller,144,8,587173,Martin Campbell,Daniel Craig;Eva Green;Judi Dench;Jeffrey Wright,167.45
Bound by Honor,1993,Crime;Drama,180,8,29130,Taylor Hackford,Damian Chapa;Jesse Borrego;Benjamin Bratt;Enrique Castillo,4.5
Butch Cassidy and the Sundance Kid,1969,Biography;Crime;Drama,110,8,203361,George Roy Hill,Paul Newman;Robert Redford;Katharine Ross;Strother Martin,102.31
In Bruges,2008,Comedy;Crime;Drama,107,7.9,393924,Martin McDonagh,Colin Farrell;Brendan Gleeson;Ciarán Hinds;Elizabeth Berrington,7.76
The Irishman,2019,Biography;Crime;Drama,209,7.8,334544,Martin Scorsese,Robert De Niro;Al Pacino;Joe Pesci;Harvey Keitel,7
Cast Away,2000,Adventure;Drama;Romance,143,7.8,532697,Robert Zemeckis,Tom Hanks;Helen Hunt;Paul Sanchez;Lari White,233.63
Back to the Future Part II,1989,Adventure;Comedy;Sci-Fi,108,7.8,487544,Robert Zemeckis,Michael J. Fox;Christopher Lloyd;Lea Thompson;Thomas F. Wilson,118.5
The King of Comedy,1982,Comedy;Crime;Drama,109,7.8,91577,Martin Scorsese,Robert De Niro;Jerry Lewis;Diahnne Abbott;Sandra Bernhard,2.5
Wind River,2017,Crime;Drama;Mystery,107,7.7,211925,Taylor Sheridan,Elizabeth Olsen;Jeremy Renner;Graham Greene;Kelsey Asbille,33.8
Ray,2004,Biography;Drama;Music,152,7.7,139751,Taylor Hackford,Jamie Foxx;Regina King;Kerry Washington;Clifton Powell,75.33
Who Framed Roger Rabbit,1988,Animation;Adventure;Comedy,104,7.7,183889,Robert Zemeckis,Bob Hoskins;Christopher Lloyd;Joanna Cassidy;Charles Fleischer,156.45
After Hours,1985,Comedy;Crime;Drama,97,7.7,61224,Martin Scorsese,Griffin Dunne;Rosanna Arquette;Verna Bloom;Tommy Chong,10.6
Searching,2018,Drama;Mystery;Thriller,102,7.6,144000,Aneesh Chaganty,John Cho;Debra Messing;Joseph Lee;Michelle La,26.02
Only the Brave,2017,Action;Biography;Drama,134,7.6,59983,Joseph Kosinski,Josh Brolin;Miles Teller;Jeff Bridges;Jennifer Connelly,18.34
Schindler's List,1993,Biography;Drama;History,195,8.9,1229549,Steven Spielberg,Liam Neeson;Ralph Fiennes;Ben Kingsley;Caroline Goodall,96.9
Saving Private Ryan,1998,Drama;War,169,8.6,1253851,Steven Spielberg,Tom Hanks;Matt Damon;Tom Sizemore;Edward Burns,216.54
Seppuku,1962,Action;Drama;Mystery,133,8.6,44169,Masaki Kobayashi,Tatsuya Nakadai;Akira Ishihama;Shima Iwashita;Tetsurô Tanba,-1
Psycho,1960,Horror;Mystery;Thriller,109,8.5,612350,Alfred Hitchcock,Anthony Perkins;Janet Leigh;Vera Miles;John Gavin,32
Raiders of the Lost Ark,1981,Action;Adventure,115,8.4,893321,Steven Spielberg,Harrison Ford;Karen Allen;Paul Freeman;John Rhys-Davies,248.16
Rear Window,1954,Mystery;Thriller,112,8.4,449656,Alfred Hitchcock,James Stewart;Grace Kelly;Wendell Corey;Thelma Ritter,36.76
Requiem for a Dream,2000,Drama,102,8.3,776501,Darren Aronofsky,Ellen Burstyn;Jared Leto;Jennifer Connelly;Marlon Wayans,3.64
North by Northwest,1959,Adventure;Mystery;Thriller,136,8.3,302621,Alfred Hitchcock,Cary Grant;Eva Marie Saint;James Mason;Jessie Royce Landis,13.28
Vertigo,1958,Mystery;Romance;Thriller,128,8.3,369404,Alfred Hitchcock,James Stewart;Kim Novak;Barbara Bel Geddes;Tom Helmore,3.2
Indiana Jones and the Last Crusade,1989,Action;Adventure,127,8.2,699161,Steven Spielberg,Harrison Ford;Sean Connery;Alison Doody;Denholm Elliott,197.17
Stalker,1979,Drama;Sci-Fi,162,8.2,119437,Andrei Tarkovsky,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn;Nikolay Grinko,0.23
Dial M for Murder,1954,Crime;Thriller,105,8.2,160671,Alfred Hitchcock,Ray Milland;Grace Kelly;Robert Cummings;John Williams,0.01
Catch Me If You Can,2002,Biography;Crime;Drama,141,8.1,849407,Steven Spielberg,Leonardo DiCaprio;Tom Hanks;Christopher Walken;Martin Sheen,164.62
Jurassic Park,1993,Action;Adventure;Sci-Fi,127,8.1,879469,Steven Spielberg,Sam Neill;Laura Dern;Jeff Goldblum;Richard Attenborough,402.45
Sacrifice,1986,Drama,149,8.1,25100,Andrei Tarkovsky,Erland Josephson;Susan Fleetwood;Allan Edwall;Guðrún Gísladóttir,0.3
Zerkalo,1975,Biography;Drama,107,8.1,40951,Andrei Tarkovsky,Margarita Terekhova;Filipp Yankovskiy;Ignat Daniltsev;Oleg Yankovskiy,0.18
Solaris,1972,Drama;Mystery;Sci-Fi,167,8.1,82396,Andrei Tarkovsky,Natalya Bondarchuk;Donatas Banionis;Jüri Järvet;Vladislav Dvorzhetskiy,-1
Cool Hand Luke,1967,Crime;Drama,127,8.1,163986,Stuart Rosenberg,Paul Newman;George Kennedy;Strother Martin;J.D. Cannon,16.22
Andrei Rublev,1966,Biography;Drama;History,205,8.1,48105,Andrei Tarkovsky,Anatoliy Solonitsyn;Ivan Lapikov;Nikolay Grinko;Nikolay Sergeev,0.1
Rebecca,1940,Drama;Mystery;Romance,130,8.1,125689,Alfred Hitchcock,Laurence Olivier;Joan Fontaine;George Sanders;Judith Anderson,4.36
Black Swan,2010,Drama;Thriller,108,8,707172,Darren Aronofsky,Natalie Portman;Mila Kunis;Vincent Cassel;Winona Ryder,106.95
Jaws,1975,Adventure;Thriller,124,8,547736,Steven Spielberg,Roy Scheider;Robert Shaw;Richard Dreyfuss;Lorraine Gary,260
Rope,1948,Crime;Drama;Mystery,80,8,131499,Alfred Hitchcock,James Stewart;John Dall;Farley Granger;Dick Hogan,-1
The Wrestler,2008,Drama;Sport,109,7.9,291301,Darren Aronofsky,Mickey Rourke;Marisa Tomei;Evan Rachel Wood;Mark Margolis,26.24
Strangers on a Train,1951,Crime;Film-Noir;Thriller,101,7.9,124340,Alfred Hitchcock,Farley Granger;Robert Walker;Ruth Roman;Leo G. Carroll,7.63
Notorious,1946,Drama;Film-Noir;Romance,102,7.9,93178,Alfred Hitchcock,Cary Grant;Ingrid Bergman;Claude Rains;Louis Calhern,10.46
A Night at the Opera,1935,Comedy;Music;Musical,96,7.9,30845,Edmund Goulding,Groucho Marx;Chico Marx;Harpo Marx;Kitty Carlisle,2.54
Under sandet,2015,Drama;History;War,100,7.8,36686,Martin Zandvliet,Roland Møller;Louis Hofmann;Joel Basman;Mikkel Boe Følsgaard,0.44
The Color Purple,1985,Drama,154,7.8,79479,Steven Spielberg,Danny Glover;Whoopi Goldberg;Oprah Winfrey;Margaret Avery,98.47
E.T. the Extra-Terrestrial,1982,Family;Sci-Fi,115,7.8,376633,Steven Spielberg,Henry Thomas;Drew Barrymore;Peter Coyote;Dee Wallace,435.11
Mary Poppins,1964,Comedy;Family;Fantasy,139,7.8,159645,Robert Stevenson,Julie Andrews;Dick Van Dyke;David Tomlinson;Glynis Johns,102.27
Shadow of a Doubt,1943,Film-Noir;Thriller,108,7.8,60351,Alfred Hitchcock,Teresa Wright;Joseph Cotten;Macdonald Carey;Henry Travers,-1
The Lady Vanishes,1938,Mystery;Thriller,96,7.8,48183,Alfred Hitchcock,Margaret Lockwood;Michael Redgrave;Paul Lukas;May Whitty,-1
Empire of the Sun,1987,Action;Drama;History,153,7.7,117191,Steven Spielberg,Christian Bale;John Malkovich;Miranda Richardson;Nigel Havers,22.24
The Birds,1963,Drama;Horror;Mystery,119,7.7,173631,Alfred Hitchcock,Rod Taylor;Tippi Hedren;Jessica Tandy;Suzanne Pleshette,11.4
Bridge of Spies,2015,Drama;History;Thriller,142,7.6,291410,Steven Spielberg,Tom Hanks;Mark Rylance;Alan Alda;Amy Ryan,72.31
Minority Report,2002,Action;Crime;Mystery,145,7.6,513176,Steven Spielberg,Tom Cruise;Colin Farrell;Samantha Morton;Max von Sydow,132.07
Close Encounters of the Third Kind,1977,Drama;Sci-Fi,138,7.6,187029,Steven Spielberg,Richard Dreyfuss;François Truffaut;Teri Garr;Melinda Dillon,132.09
Lifeboat,1944,Drama;War,97,7.6,26791,Alfred Hitchcock,Tallulah Bankhead;John Hodiak;Walter Slezak;William Bendix,-1
The 39 Steps,1935,Crime;Mystery;Thriller,86,7.6,52688,Alfred Hitchcock,Robert Donat;Madeleine Carroll;Lucie Mannheim;Godfrey Tearle,-1
Jagten,2012,Drama,115,8.3,289054,Thomas Vinterberg,Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp;Lasse Fogelstrøm,0.69
Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo;kimi ni,1997,Animation;Action;Drama,87,8.1,40915,Kazuya Tsurumaki,Megumi Ogata;Megumi Hayashibara;Yûko Miyamura;Kotono Mitsuishi,-1
Sin City,2005,Crime;Thriller,124,8,741342,Robert Rodriguez,Mickey Rourke;Clive Owen;Bruce Willis;Jessica Alba,74.1
Festen,1998,Drama,105,8,79476,Thomas Vinterberg,Ulrich Thomsen;Henning Moritzen;Thomas Bo Larsen;Paprika Steen,1.65
Druk,2020,Comedy;Drama,117,7.8,60039,Thomas Vinterberg,Mads Mikkelsen;Thomas Bo Larsen;Magnus Millang;Lars Ranthe,-1
Ocean's Eleven,2001,Crime;Thriller,116,7.7,522728,Steven Soderbergh,George Clooney;Brad Pitt;Julia Roberts;Matt Damon,183.42
Inside Out,2015,Animation;Adventure;Comedy,95,8.1,628328,Ronnie Del Carmen,Amy Poehler;Bill Hader;Lewis Black;Mindy Kaling,356.46
Vozvrashchenie,2003,Drama,110,8,43063,Andrey Zvyagintsev,Vladimir Garin;Ivan Dobronravov;Konstantin Lavronenko;Nataliya Vdovina,0.5
Nelyubov,2017,Drama,127,7.6,30396,Andrey Zvyagintsev,Maryana Spivak;Aleksey Rozin;Matvey Novikov;Marina Vasileva,0.57
Leviafan,2014,Crime;Drama,140,7.6,50097,Andrey Zvyagintsev,Aleksey Serebryakov;Elena Lyadova;Roman Madyanov;Vladimir Vdovichenkov,1.09
Der Untergang,2004,Biography;Drama;History,156,8.2,334782,Oliver Hirschbiegel,Bruno Ganz;Alexandra Maria Lara;Ulrich Matthes;Juliane Köhler,5.51
The Red Shoes,1948,Drama;Music;Romance,135,8.1,31487,Emeric Pressburger,Anton Walbrook;Marius Goring;Moira Shearer;Robert Helpmann,10.9
The Artist,2011,Comedy;Drama;Romance,100,7.9,232355,Michel Hazanavicius,Jean Dujardin;Bérénice Bejo;John Goodman;James Cromwell,44.67
Das Experiment,2001,Drama;Thriller,120,7.7,91301,Oliver Hirschbiegel,Moritz Bleibtreu;Christian Berkel;Oliver Stokowski;Wotan Wilke Möhring,0.14
Adams æbler,2005,Comedy;Crime;Drama,94,7.8,46415,Anders Thomas Jensen,Ulrich Thomsen;Mads Mikkelsen;Nicolas Bro;Paprika Steen,0
Black,2005,Drama,122,8.2,33560,Sanjay Leela Bhansali,Amitabh Bachchan;Rani Mukerji;Shernaz Patel;Ayesha Kapoor,0.73
Short Term 12,2013,Drama,96,8,82867,Destin Daniel Cretton,Brie Larson;Frantz Turner;John Gallagher Jr.;Kaitlyn Dever,1.01
Just Mercy,2019,Biography;Crime;Drama,137,7.6,50087,Destin Daniel Cretton,Michael B. Jordan;Jamie Foxx;Brie Larson;Charlie Pye Jr.,-1
Pâfekuto burû,1997,Animation;Crime;Mystery,81,8,60371,Satoshi Kon,Junko Iwao;Rica Matsumoto;Shinpachi Tsuji;Masaaki Ôkura,0.78
Tôkyô goddofâzâzu,2003,Animation;Adventure;Comedy,90,7.9,32422,Satoshi Kon,Tôru Emori;Yoshiaki Umegaki;Aya Okamoto;Shôzô Îzuka,0.13
God's Own Country,2017,Drama;Romance,104,7.7,26128,Francis Lee,Josh O'Connor;Alec Secareanu;Gemma Jones;Ian Hart,0.34
Papurika,2006,Animation;Drama;Fantasy,90,7.7,72847,Satoshi Kon,Megumi Hayashibara;Tôru Emori;Katsunosuke Hori;Tôru Furuya,0.88
Heat,1995,Crime;Drama;Thriller,170,8.2,586350,Michael Mann,Al Pacino;Robert De Niro;Val Kilmer;Jon Voight,67.44
Togo,2019,Adventure;Biography;Drama,113,8,39807,Ericson Core,Willem Dafoe;Julianne Nicholson;Christopher Heyerdahl;Richard Dormer,-1
The Insider,1999,Biography;Drama;Thriller,157,7.8,161375,Michael Mann,Russell Crowe;Al Pacino;Christopher Plummer;Diane Venora,28.97
Efter brylluppet,2006,Drama,120,7.7,32582,Susanne Bier,Mads Mikkelsen;Sidse Babett Knudsen;Rolf Lassgård;Neeral Mulchandani,0.41
Kung fu,2004,Action;Comedy;Fantasy,99,7.7,128712,Stephen Chow,Stephen Chow;Wah Yuen;Qiu Yuen;Siu-Lung Leung,17.11
The Last of the Mohicans,1992,Action;Adventure;Drama,112,7.7,153129,Michael Mann,Daniel Day-Lewis;Madeleine Stowe;Russell Means;Eric Schweig,75.51
Hævnen,2010,Drama;Romance,118,7.6,38734,Susanne Bier,Mikael Persbrandt;Trine Dyrholm;Markus Rygaard;Wil Johnson,1.01
Ben-Hur,1959,Adventure;Drama;History,212,8.1,222050,William Wyler,Charlton Heston;Jack Hawkins;Stephen Boyd;Haya Harareet,74.7
Donnie Darko,2001,Drama;Mystery;Sci-Fi,113,8,747128,Richard Kelly,Jake Gyllenhaal;Jena Malone;Mary McDonnell;Holmes Osborne,1.48
Roman Holiday,1953,Comedy;Romance,118,8,128722,William Wyler,Gregory Peck;Audrey Hepburn;Eddie Albert;Hartley Power,-1
The Best Years of Our Lives,1946,Drama;Romance;War,170,8,57879,William Wyler,Myrna Loy;Dana Andrews;Fredric March;Teresa Wright,23.65
Almost Famous,2000,Adventure;Comedy;Drama,122,7.9,255762,Cameron Crowe,Billy Crudup;Patrick Fugit;Kate Hudson;Frances McDormand,32.53
Charade,1963,Comedy;Mystery;Romance,113,7.9,70064,Stanley Donen,Cary Grant;Audrey Hepburn;Walter Matthau;James Coburn,13.47
Wait Until Dark,1967,Thriller,108,7.8,28017,Terence Young,Audrey Hepburn;Alan Arkin;Richard Crenna;Efrem Zimbalist Jr.,17.55
Training Day,2001,Crime;Drama;Thriller,122,7.7,397486,Antoine Fuqua,Denzel Washington;Ethan Hawke;Scott Glenn;Tom Berenger,76.63
Le dîner de cons,1998,Comedy,80,7.7,37814,Francis Veber,Thierry Lhermitte;Jacques Villeret;Francis Huster;Daniel Prévost,4.07
Gilda,1946,Drama;Film-Noir;Romance,110,7.7,28380,Charles Vidor,Rita Hayworth;Glenn Ford;George Macready;Joseph Calleia,-1
La Vie En Rose,2007,Biography;Drama;Music,140,7.6,83389,Olivier Dahan,Marion Cotillard;Sylvie Testud;Pascal Greggory;Emmanuelle Seigner,10.3
Casablanca,1942,Drama;Romance;War,102,8.5,528248,Michael Curtiz,Humphrey Bogart;Ingrid Bergman;Paul Henreid;Claude Rains,1.02
The Father,2020,Drama,97,8.3,31071,Florian Zeller,Anthony Hopkins;Olivia Colman;Mark Gatiss;Olivia Williams,-1
Judgment at Nuremberg,1961,Drama;War,179,8.2,70635,Stanley Kramer,Spencer Tracy;Burt Lancaster;Richard Widmark;Marlene Dietrich,-1
The Deer Hunter,1978,Drama;War,183,8.1,315289,Michael Cimino,Robert De Niro;Christopher Walken;John Cazale;John Savage,48.98
Inherit the Wind,1960,Biography;Drama;History,128,8.1,27671,Stanley Kramer,Spencer Tracy;Fredric March;Gene Kelly;Dick York,-1
Cat on a Hot Tin Roof,1958,Drama,108,8,45765,Richard Brooks,Elizabeth Taylor;Paul Newman;Burl Ives;Jack Carson,17.57
Amour,2012,Drama,127,7.9,94203,Michael Haneke,Jean-Louis Trintignant;Emmanuelle Riva;Isabelle Huppert;Alexandre Tharaud,6.74
Kal Ho Naa Ho,2003,Comedy;Drama;Musical,186,7.9,64043,Nikkhil Advani,Preity Zinta;Shah Rukh Khan;Saif Ali Khan;Jaya Bachchan,1.79
The Lion in Winter,1968,Biography;Drama;History,134,7.9,29315,Anthony Harvey,Peter O'Toole;Katharine Hepburn;Anthony Hopkins;John Castle,22.28
Vicky Donor,2012,Comedy;Romance,126,7.8,40043,Shoojit Sircar,Ayushmann Khurrana;Yami Gautam;Annu Kapoor;Dolly Ahluwalia,0.17
About Time,2013,Comedy;Drama;Fantasy,123,7.8,310693,Richard Curtis,Domhnall Gleeson;Rachel McAdams;Bill Nighy;Lydia Wilson,15.32
Das weiße Band - Eine deutsche Kindergeschichte,2009,Drama;History;Mystery,144,7.8,69423,Michael Haneke,Christian Friedel;Ernst Jacobi;Leonie Benesch;Ulrich Tukur,2.22
Little Miss Sunshine,2006,Comedy;Drama,101,7.8,444433,Valerie Faris,Steve Carell;Toni Collette;Greg Kinnear;Abigail Breslin,59.89
Les triplettes de Belleville,2003,Animation;Comedy;Drama,80,7.8,50982,Sylvain Chomet,Michèle Caucheteux;Jean-Claude Donda;Michel Robin;Monica Viegas,7
Hana-bi,1997,Crime;Drama;Romance,103,7.8,28164,Takeshi Kitano,Takeshi Kitano;Kayoko Kishimoto;Ren Osugi;Susumu Terajima,0.23
The Goonies,1985,Adventure;Comedy;Family,114,7.8,247524,Richard Donner,Sean Astin;Josh Brolin;Jeff Cohen;Corey Feldman,61.5
Guess Who's Coming to Dinner,1967,Comedy;Drama,108,7.8,40382,Stanley Kramer,Spencer Tracy;Sidney Poitier;Katharine Hepburn;Katharine Houghton,56.7
Kingsman: The Secret Service,2014,Action;Adventure;Comedy,129,7.7,597257,Matthew Vaughn,Colin Firth;Taron Egerton;Samuel L. Jackson;Michael Caine,128.26
X: First Class,2011,Action;Adventure;Sci-Fi,131,7.7,651112,Matthew Vaughn,James McAvoy;Michael Fassbender;Jennifer Lawrence;Kevin Bacon,146.41
Billy Elliot,2000,Drama;Music,110,7.7,127885,Stephen Daldry,Jamie Bell;Julie Walters;Jean Heywood;Jamie Draven,22
Primal Fear,1996,Crime;Drama;Mystery,129,7.7,192668,Gregory Hoblit,Richard Gere;Laura Linney;Edward Norton;John Mahoney,56.12
Der Name der Rose,1986,Crime;Drama;Mystery,130,7.7,103052,Jacques Annaud,Sean Connery;Christian Slater;Helmut Qualtinger;Elya Baskin,7.15
Peeping Tom,1960,Drama;Horror;Thriller,101,7.7,31877,Michael Powell,Karlheinz Böhm;Anna Massey;Moira Shearer;Maxine Audley,0.08
Les yeux sans visage,1960,Drama;Horror,90,7.7,28148,Georges Franju,Pierre Brasseur;Alida Valli;Juliette Mayniel;Alexandre Rignault,0.05
