Title,Year,Genre,RunTime,Rating,Votes,Director,Cast,Gross
Manchester by the Sea,2016,Drama,137,7.8,251807,Kenneth Lonergan,Casey Affleck;Michelle Williams;Kyle Chandler;Lucas Hedges,47.7
The French Connection,1971,Action;Crime;Drama,104,7.7,111705,William Friedkin,Gene Hackman;Roy Scheider;Fernando Rey;Tony Lo Bianco,15.63
Pulp Fiction,1994,Crime;Drama,154,8.9,1852195,Quentin Tarantino,John Travolta;Uma Thurman;Samuel L. Jackson;Bruce Willis,107.93
Django Unchained,2012,Drama;Western,165,8.4,1379979,Quentin Tarantino,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio;Kerry Washington,162.81
Inglourious Basterds,2009,Adventure;Drama;War,153,8.3,1289098,Quentin Tarantino,Brad Pitt;Diane Kruger;Eli Roth;Mélanie Laurent,120.54
Reservoir Dogs,1992,Crime;Drama;Thriller,99,8.3,930834,Quentin Tarantino,Harvey Keitel;Tim Roth;Michael Madsen;Chris Penn,2.83
Before Sunset,2004,Drama;Romance,80,8.1,240128,Richard Linklater,Ethan Hawke;Julie Delpy;Vernon Dobtcheff;Louise Lemoine Torrès,5.82
Kill Bill: Vol. 1,2003,Action;Crime;Drama,111,8.1,1013404,Quentin Tarantino,Uma Thurman;David Carradine;Daryl Hannah;Michael Madsen,70.1
La haine,1995,Crime;Drama,98,8.1,153574,Mathieu Kassovitz,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui;Abdel Ahmed Ghili,0.31
Before Sunrise,1995,Drama;Romance,101,8.1,277051,Richard Linklater,Ethan Hawke;Julie Delpy;Andrea Eckert;Hanno Pöschl,5.54
Kill Bill: Vol. 2,2004,Action;Crime;Thriller,137,8,691878,Quentin Tarantino,Uma Thurman;David Carradine;Michael Madsen;Daryl Hannah,66.21
Before Midnight,2013,Drama;Romance,109,7.9,143840,Richard Linklater,Ethan Hawke;Julie Delpy;Seamus Davey-Fitzpatrick;Ariane Labed,8.11
Boyhood,2014,Drama,165,7.9,337969,Richard Linklater,Ellar Coltrane;Patricia Arquette;Ethan Hawke;Elijah Smith,25.38
The Man from Earth,2007,Drama;Fantasy;Mystery,87,7.9,175904,Richard Schenkman,David Lee Smith;Tony Todd;John Billingsley;Ellen Crawford,-1
The Adventures of Robin Hood,1938,Action;Adventure;Romance,102,7.9,47618,William Keighley,Errol Flynn;Olivia de Havilland;Basil Rathbone;Claude Rains,3.98
The Hateful Eight,2015,Crime;Drama;Mystery,168,7.8,527146,Quentin Tarantino,Samuel L. Jackson;Kurt Russell;Jennifer Jason Leigh;Walton Goggins,54.12
Kokuhaku,2010,Drama;Thriller,106,7.8,36161,Tetsuya Nakashima,Takako Matsu;Yoshino Kimura;Masaki Okada;Yukito Nishii,-1
Waking Life,2001,Animation;Drama;Fantasy,99,7.8,61165,Richard Linklater,Ethan Hawke;Trevor Jack Brooks;Lorelei Linklater;Wiley Wiggins,2.89
Once Upon a Time... in Hollywood,2019,Comedy;Drama,161,7.6,572662,Quentin Tarantino,Leonardo DiCaprio;Brad Pitt;Margot Robbie;Emile Hirsch,142.5
The Peanut Butter Falcon,2019,Adventure;Comedy;Drama,97,7.6,69959,Michael Schwartz,Zack Gottsagen;Ann Owens;Dakota Johnson;Bruce Dern,13.12
Dazed and Confused,1993,Comedy,102,7.6,168537,Richard Linklater,Jason London;Wiley Wiggins;Matthew McConaughey;Rory Cochrane,7.99
Dara iz Jasenovca,2020,Drama;War,130,8.3,34230,Predrag Antonijevic,Biljana Cekic;Zlatan Vidovic;Anja Stanic;Luka Saranovic,-1
The Godfather,1972,Crime;Drama,175,9.2,1646818,Francis Ford Coppola,Marlon Brando;Al Pacino;James Caan;Diane Keaton,134.97
The Godfather: Part II,1974,Crime;Drama,202,9,1146666,Francis Ford Coppola,Al Pacino;Robert De Niro;Robert Duvall;Diane Keaton,57.3
Apocalypse Now,1979,Drama;Mystery;War,147,8.4,614397,Francis Ford Coppola,Martin Sheen;Marlon Brando;Robert Duvall;Frederic Forrest,83.47
Gandhi,1982,Biography;Drama;History,191,8,219188,Richard Attenborough,Ben Kingsley;John Gielgud;Rohini Hattangadi;Roshan Seth,52.77
Drive,2011,Crime;Drama,100,7.8,578975,Nicolas Winding Refn,Ryan Gosling;Carey Mulligan;Bryan Cranston;Albert Brooks,35.06
